s_noun	s_noun_freq	s_noun_nfreq	s_noun_vfreq	s_noun_direct_div	s_noun_indirect_div	p_noun	p_noun_freq	p_noun_nfreq	p_noun_vfreq	p_noun_direct_div	p_noun_indirect_div	sp_freq_diff
grapevine	3.352	2.8681	0	1.2041	2.9304	grapevines	2.7889	2.7657	0.301	1.301	2.8261	0.5631
starling	3.5703	3.0892	2.3579	1.3617	2.8089	starlings	2.882	2.8228	0	1.4314	2.8597	0.6884
constant	4.9345	4.1336	0.699	2.0086	3.4612	constants	3.7982	3.7702	0	1.8633	3.3064	1.1363
ball	5.2332	5.1	2.0719	2.8645	4.0661	balls	4.5213	4.4778	1.1761	2.4564	3.8343	0.7118
salaryman	2.5185	2.3541	0	1.0414	2.6191	salarymen	1.8129	1.8129	0	0.699	2.143	0.7056
etymology	3.8752	3.8636	0	2.1004	3.4224	etymologies	3	2.9921	0	1.4771	2.9614	0.8752
electron	4.5245	4.4883	1.0414	2.1644	3.6409	electrons	4.2597	4.2573	0	2.3636	3.5417	0.2648
glass	5.1226	5.0072	1.4314	2.5051	4.0284	glasses	4.1073	4.0724	0.4771	2.1206	3.6985	1.0153
kabbalist	2.6335	2.5465	0	1.1139	2.5955	kabbalists	2.5276	2.4116	0	1.5911	2.6646	0.1058
attribution	3.7915	3.768	0	1.959	3.4257	attributions	3.1176	3.1159	0	1.5563	3.1082	0.6739
consul	4.4095	4.3055	1.4472	2.4609	3.5991	consuls	3.5696	3.553	0.301	2.2095	3.3404	0.8399
sense	5.1358	5.1	3.5436	2.6893	4.1734	senses	4.1016	3.9763	3.2876	2.0212	3.7132	1.0342
sheepdog	2.945	2.798	0	1.1461	2.8426	sheepdogs	2.444	2.2856	0	1	2.4757	0.5009
microphone	4.0123	3.9913	0.6021	1.9085	3.6364	microphones	3.6396	3.6245	0	1.7924	3.3995	0.3727
fantasy	4.8844	4.6393	1.0414	2.0086	3.8675	fantasies	3.6894	3.6171	0.7782	1.8573	3.547	1.195
view	5.3619	5.2514	4.4273	2.8739	4.1776	views	5.0208	4.9907	3.7698	2.8169	4.0253	0.3411
fanatic	3.5053	2.9996	0	1.3617	3.1443	fanatics	3.1176	2.9996	0	1.6232	3.2294	0.3877
panchayat	4.0773	3.9343	0	1.8921	3.1931	panchayats	3.5412	3.5024	0	1.3802	2.9299	0.5361
suffix	4.1943	4.1927	1.301	2.1818	3.5342	suffixes	3.6955	3.6946	0.699	2	3.2217	0.4988
hotel	5.3356	5.1054	0.699	2.7419	4.0024	hotels	4.5788	4.4814	0	2.4014	3.6916	0.7567
harmonic	4.0642	2.7459	0	1.2788	2.7723	harmonics	3.4539	3.4252	0	1.6628	3.233	0.6103
stingray	3.5123	3.0584	0.8451	1.415	2.8195	stingrays	3.2103	2.8209	0.6021	1.3979	2.7672	0.302
truth	4.9466	4.845	0.699	2.4786	4.0626	truths	3.7989	3.7615	0	1.7404	3.5998	1.1478
fiction	5.1367	5.0534	1.1139	2.5051	3.9705	fictions	3.2009	3.1329	0	1.6435	3.1565	1.9358
abuser	2.9096	2.8938	0.301	1.4914	3.0917	abusers	3.0752	3.0569	0	1.4771	3.2019	-0.1656
shoreline	4.0563	3.9922	0	1.9868	3.5215	shorelines	3.1143	3.0983	0	1.5563	3.0531	0.9421
drum	4.7909	4.7139	2.7924	2.281	3.8794	drums	5.2925	5.2801	1.8129	2.316	3.8603	-0.5016
capital	5.5489	5.4374	0.9542	2.601	4.0746	capitals	4.2459	4.0119	0	2.0828	3.5444	1.303
potentiometer	2.6064	2.6031	0	1.0792	2.6675	potentiometers	2.4362	2.433	0	1	2.5403	0.1702
remark	3.8584	3.7534	3.1532	2.0414	3.602	remarks	4.3172	4.204	3.6489	2.3139	3.7656	-0.4587
loading	4.4382	4.2869	3.8626	2.0294	3.6631	loadings	2.8597	2.8579	0	1.3802	2.9294	1.5785
command	5.4752	5.3057	4.146	2.8663	4.0928	commands	4.385	4.2911	3.6152	2.3483	3.7486	1.0903
intensifier	2.5366	2.5289	0	0.9031	2.6609	intensifiers	2.1206	2.1173	0	1	2.3201	0.416
enclave	3.7934	3.7192	0.4771	1.9243	3.3946	enclaves	3.4259	3.4195	0.301	1.716	3.2531	0.3675
franchise	4.9076	4.8956	2.1106	2.6684	3.8564	franchises	3.9938	3.9904	1.4624	2.243	3.4983	0.9138
album	6.142	6.1318	0.7782	3.2541	4.3526	albums	5.2651	5.1979	0	2.6848	3.9542	0.877
radiologist	2.9528	2.9455	0	1.301	2.8756	radiologists	2.7218	2.5694	0	1.2304	2.6794	0.231
proponent	3.9949	3.9942	0.301	1.9956	3.5439	proponents	4.0628	4.0627	0	2.6253	3.6735	-0.0679
pro	5.0553	4.1419	1.4314	1.7993	3.5765	pros	3.6001	3.4306	0.8451	1.9031	3.3406	1.4552
region	5.7886	5.725	0.8451	2.9868	4.1903	regions	5.1424	5.1272	0	2.7694	4.0142	0.6462
forwarder	2.4281	2.3927	0	1	2.5441	forwarders	2.3945	2.301	0	1.1461	2.5065	0.0337
clarinetist	3.3535	3.3481	0	1.3222	2.909	clarinetists	2.3139	2.3054	0	1.2788	2.3711	1.0397
rat	4.3994	4.246	2.1206	2.3655	3.7284	rats	4.2882	4.2167	1.415	2.534	3.7086	0.1112
climate	5.1209	5.0636	0	2.618	3.9413	climates	3.9197	3.9152	0	1.9294	3.455	1.2012
locksmith	2.9643	2.8395	0	1.3222	2.8887	locksmiths	2.3096	2.1732	0	1.0792	2.4099	0.6546
spill	3.9357	3.792	3.1827	2.0212	3.4728	spills	3.4973	3.3195	3.0043	1.6128	3.235	0.4383
good	5.6856	4.2946	1.4624	1.7709	3.8522	goods	5.0037	4.9865	0.9542	2.3674	3.9982	0.6819
impact	5.1741	5.0832	3.9377	2.6712	4.0563	impacts	4.2804	4.2167	3.3574	2.1523	3.6554	0.8936
forager	2.6758	2.5302	0.4771	1.415	2.7218	foragers	2.9425	2.9375	0	1.7324	2.9996	-0.2667
articulation	3.803	3.7634	0	1.8865	3.4538	articulations	2.8319	2.8267	0	1.2304	2.8987	0.9711
faith	5.0303	4.8802	1.4314	2.6149	4.0303	faiths	3.7021	3.656	0	1.7324	3.4422	1.3282
street	5.8448	5.2458	1.2041	2.673	4.1113	streets	5.0287	4.9446	0.6021	2.6021	4.0274	0.8161
undertaker	3.8218	2.936	0	1.3979	3.0273	undertakers	2.7796	2.721	0	1.4624	2.8993	1.0422
starship	3.7558	3.3992	0	1.7634	3.3243	starships	2.9355	2.8525	0.301	1.3424	3.0199	0.8203
