Edward_III	Edward_II
John of_Eltham	Edward_II
Eleanor	Edward_II
Joan of_the_Tower	Edward_II
David of house of Lascelles	George Earl_of_Harewood of house of Lascelles
James of house of Lascelles	George Earl_of_Harewood of house of Lascelles
Jeremy of house of Lascelles	George Earl_of_Harewood of house of Lascelles
Henry of house of Lascelles	Gerald of house of Lascelles
Louise of_Hesse-Cassel	William of_Hesse-Cassel
Other_issue	William of_Hesse-Cassel
William of_Hesse-Cassel	Frederick of_Hesse-Cassel
Augusta of_Hesse-Cassel	Frederick of_Hesse-Cassel
Claudine #2	Alexander of_Wurttemberg
Francis	Alexander of_Wurttemberg
Amelie	Alexander of_Wurttemberg
Paul of house of von_Hugel #2	Paul of house of von_Hugel
Carol_II of house of Hohenzollern	Ferdinand_I of_Hohenzollern- Sigmaringen of house of Hohenzollern
Elizabeth of_Romania of house of Hohenzollern	Ferdinand_I of_Hohenzollern- Sigmaringen of house of Hohenzollern
Marie (Mignon) of house of Hohenzollern	Ferdinand_I of_Hohenzollern- Sigmaringen of house of Hohenzollern
Nicholas of house of Hohenzollern	Ferdinand_I of_Hohenzollern- Sigmaringen of house of Hohenzollern
Ileana of house of Hohenzollern	Ferdinand_I of_Hohenzollern- Sigmaringen of house of Hohenzollern
Mircea of house of Hohenzollern	Ferdinand_I of_Hohenzollern- Sigmaringen of house of Hohenzollern
Mark of house of Lascelles	George Earl_of_Harewood of house of Lascelles
Martin of house of Lascelles	Gerald of house of Lascelles
Frederick of house of Windsor	Michael of house of Windsor
Gabriella Marina Alexandra of house of Windsor	Michael of house of Windsor
Frederick Louis of house of Hanover	George_II of house of Hanover
Anne of house of Hanover	George_II of house of Hanover
Amelia Sophia Eleanor of house of Hanover	George_II of house of Hanover
Caroline Elizabeth of house of Hanover	George_II of house of Hanover
Son	George_II of house of Hanover
George William of house of Hanover #2	George_II of house of Hanover
William Augustus of_Cumberland of house of Hanover	George_II of house of Hanover
Mary of house of Hanover #3	George_II of house of Hanover
Louisa of house of Hanover	George_II of house of Hanover
Augusta of house of Hanover	Frederick Louis of house of Hanover
George_III of house of Hanover	Frederick Louis of house of Hanover
Edward Augustus of house of Hanover #2	Frederick Louis of house of Hanover
Elizabeth Caroline of house of Hanover	Frederick Louis of house of Hanover
Edward Henry of_Gloucester of house of Hanover	Frederick Louis of house of Hanover
Henry Frederick of_Cumberland of house of Hanover	Frederick Louis of house of Hanover
Louisa Anne of house of Hanover	Frederick Louis of house of Hanover
Frederick William of house of Hanover	Frederick Louis of house of Hanover
Caroline Matilda of house of Hanover	Frederick Louis of house of Hanover
George_II of house of Hanover	George_I of house of Hanover
Sophia Dorothea of house of Hanover	George_I of house of Hanover
Christian	Frederick_V
Sophia Magdalena	Frederick_V
Caroline #2	Frederick_V
Christian_VII	Frederick_V
Louise #6	Frederick_V
Christian_IX	Frederick William of_Schleswig-
Marie	Alexander of_Hesse and_the_Rhine
Louis of_Battenberg	Alexander of_Hesse and_the_Rhine
Alexander of_Bulgaria	Alexander of_Hesse and_the_Rhine
Henry Maurice of_Battenberg	Alexander of_Hesse and_the_Rhine
Francis Joseph	Alexander of_Hesse and_the_Rhine
Louis_III of_Hesse	Louis_II of_Hesse and_the_Rhine
Charles of_Hesse	Louis_II of_Hesse and_the_Rhine
